utc,elapsed,rss_kb,footprint_kb,threads,pcpu,heap_alloc,heap_inuse,heap_objects,goroutines,fds,disk_files,disk_bytes,publishes_recent
2026-09-09T13:22:00Z,12:51,109392,102400,26,2.0,,,,,,,,
2026-09-09T13:27:01Z,17:52,110720,102604,26,4.2,,,,,,,,
2026-09-09T13:32:03Z,22:53,112080,95948,26,1.3,,,,,,,,
2026-09-09T13:37:04Z,27:55,111648,97177,26,3.1,,,,,,,,
2026-09-09T13:42:05Z,32:56,111856,98918,26,0.7,,,,,,,,
2026-09-09T13:47:07Z,37:57,111904,99020,26,1.0,,,,,,,,
2026-09-09T13:52:08Z,42:59,112480,98201,26,0.7,,,,,,,,
2026-09-09T13:57:09Z,48:00,118016,97280,26,1.3,,,,,,,,
2026-09-09T14:02:10Z,53:01,118096,97689,26,0.6,,,,,,,,
2026-09-09T14:07:11Z,58:02,118096,98099,26,1.1,,,,,,,,
2026-09-09T14:12:12Z,01:03:03,113424,100761,26,1.5,,,,,,,,
2026-09-09T14:17:14Z,01:08:04,112736,102195,26,0.5,,,,,,,,
