utc,elapsed,rss_kb,footprint_kb,threads,pcpu,heap_alloc,heap_inuse,heap_objects,goroutines,fds,disk_files,disk_bytes,publishes_recent
2026-08-29T15:28:47Z,00:08,116416,97587,26,6.6,33358816,44539904,118425,350,21,787,35665985,27
2026-08-29T15:33:50Z,05:10,91776,86937,25,2.0,33227288,44556288,119472,328,17,787,35678361,36
2026-08-29T15:38:51Z,10:13,85984,87654,25,2.5,33682144,45318144,119845,330,19,787,35666839,39
2026-08-29T15:43:52Z,15:14,94512,91033,25,2.2,33742440,46448640,121042,331,20,787,35666506,42
2026-08-29T15:48:53Z,20:15,87744,89088,25,1.2,34271056,47030272,121949,330,19,787,35665848,45
2026-08-29T15:53:56Z,25:16,114736,96972,32,2.9,34913496,47005696,120908,328,15,787,35647968,47
2026-08-29T15:58:57Z,30:19,107760,97177,32,2.5,34953568,47759360,125034,335,21,787,35639801,50
2026-08-29T16:03:58Z,35:20,96784,98304,32,4.3,35034304,47636480,121378,329,16,787,35639801,52
2026-08-29T16:09:00Z,40:21,108080,96665,31,1.6,35338912,48209920,122105,332,19,787,35639898,55
2026-08-29T16:14:01Z,45:23,113728,99840,32,3.6,35889168,50036736,122640,333,20,787,35639773,58
2026-08-29T16:19:04Z,50:24,107344,97075,32,0.5,35429768,48283648,121916,332,19,788,35648102,61
2026-08-29T16:24:05Z,55:27,107232,99328,32,2.1,34920592,47095808,120788,328,15,788,35642946,63
