utc,elapsed,rss_kb,footprint,threads,pcpu
2026-08-26T10:21:57Z,09:26:44,253936,116.2M,30,3.2
2026-08-26T11:47:09Z,10:51:58,156736,129.2M,31,2.2
2026-08-26T12:02:10Z,11:06:59,201696,133.6M,31,5.9
2026-08-26T12:07:11Z,11:12:00,199376,133.2M,32,3.0
2026-08-26T12:12:12Z,11:17:01,201008,135.0M,31,2.9
2026-08-26T12:17:13Z,11:22:02,151568,135.1M,33,2.3
2026-08-26T12:22:16Z,11:27:03,156688,137.4M,31,6.0
2026-08-26T12:27:17Z,11:32:06,173920,136.1M,31,4.2
2026-08-26T12:32:18Z,11:37:07,174224,136.2M,34,5.5
2026-08-26T12:37:22Z,11:42:08,162688,136.4M,31,6.3
2026-08-26T12:42:23Z,11:47:12,174688,137.4M,31,5.1
2026-08-26T12:47:24Z,11:52:13,174640,137.5M,31,3.5
2026-08-26T12:52:28Z,11:57:14,176752,140.0M,36,6.5
2026-08-26T12:57:30Z,12:02:19,183808,142.0M,37,7.8
2026-08-26T13:02:31Z,12:07:20,212704,144.2M,35,3.2
2026-08-26T13:07:32Z,12:12:21,193840,144.0M,35,3.7
2026-08-26T13:12:33Z,12:17:22,180816,142.0M,36,3.9
2026-08-26T13:17:34Z,12:22:23,141456,142.0M,37,7.8
2026-08-26T13:22:35Z,12:27:24,149744,142.0M,35,2.4
2026-08-26T13:27:36Z,12:32:25,166640,145.7M,37,4.5
2026-08-26T13:32:37Z,12:37:26,169232,146.3M,35,2.8
2026-08-26T13:37:39Z,12:42:28,160704,146.4M,35,6.7
2026-08-26T13:42:40Z,12:47:29,166544,140.6M,35,4.0
2026-08-26T13:47:41Z,12:52:30,165408,140.6M,35,7.1
2026-08-26T13:52:42Z,12:57:31,224272,138.2M,36,6.1
2026-08-26T13:57:43Z,13:02:32,228128,139.2M,35,5.2
2026-08-26T14:02:44Z,13:07:33,138224,139.1M,36,4.5
2026-08-26T14:07:45Z,13:12:34,131344,139.2M,37,4.1
2026-08-26T14:12:46Z,13:17:35,155312,138.5M,35,3.0
2026-08-26T14:17:47Z,13:22:36,150656,138.4M,36,2.9
2026-08-26T14:22:48Z,13:27:37,154704,137.6M,36,2.7
2026-08-26T14:27:50Z,13:32:38,142048,137.9M,35,3.4
2026-08-26T14:32:51Z,13:37:40,155296,139.0M,36,3.6
2026-08-26T14:37:52Z,13:42:41,141952,138.2M,36,1.9
2026-08-26T14:42:53Z,13:47:42,170160,140.0M,35,4.6
2026-08-26T14:47:55Z,13:52:43,137088,140.0M,35,3.5
2026-08-26T14:52:56Z,13:57:45,136368,141.3M,36,4.6
2026-08-26T14:57:57Z,14:02:46,168864,138.8M,36,3.2
2026-08-26T15:02:58Z,14:07:47,222960,138.6M,36,5.4
2026-08-26T15:07:59Z,14:12:48,223472,140.9M,36,4.9
2026-08-26T15:13:00Z,14:17:49,151232,138.9M,36,4.0
2026-08-26T15:18:01Z,14:22:50,154640,139.1M,36,3.7
2026-08-26T15:23:02Z,14:27:51,161712,139.2M,36,4.9
2026-08-26T15:28:03Z,14:32:52,170096,140.2M,36,1.1
2026-08-26T15:33:04Z,14:37:53,147888,140.4M,36,4.7
2026-08-26T15:38:07Z,14:42:54,147888,140.3M,35,4.2
2026-08-26T15:43:08Z,14:47:57,174736,140.5M,35,6.5
2026-08-26T15:48:09Z,14:52:58,175776,140.7M,36,3.2
2026-08-26T15:53:11Z,14:57:59,225136,140.0M,36,8.8
2026-08-26T15:58:12Z,15:03:01,170272,138.7M,36,2.9
2026-08-26T16:03:13Z,15:08:02,147424,137.9M,36,5.1
2026-08-26T16:08:15Z,15:13:03,136272,137.9M,36,6.4
2026-08-26T16:13:16Z,15:18:05,160176,139.8M,36,2.2
2026-08-26T16:18:17Z,15:23:06,136192,139.8M,36,10.4
2026-08-26T16:23:19Z,15:28:07,140544,139.6M,35,2.8
2026-08-26T16:28:20Z,15:33:09,141632,140.9M,35,2.3
2026-08-26T16:33:21Z,15:38:10,139280,141.0M,36,2.3
2026-08-26T16:38:22Z,15:43:11,132736,139.3M,35,5.1
2026-08-26T16:43:23Z,15:48:12,190960,138.1M,36,3.5
2026-08-26T16:48:24Z,15:53:13,148160,138.3M,36,4.7
2026-08-26T16:53:27Z,15:58:14,151264,139.4M,36,5.8
2026-08-26T16:58:28Z,16:03:17,169088,141.8M,36,8.0
2026-08-26T17:03:29Z,16:08:18,167600,141.9M,36,6.5
2026-08-26T17:08:30Z,16:13:19,144800,141.9M,36,5.7
2026-08-26T17:13:31Z,16:18:20,224720,138.7M,36,3.2
2026-08-26T17:18:32Z,16:23:21,222736,138.0M,36,5.1
2026-08-26T17:23:34Z,16:28:22,156560,142.4M,36,7.1
2026-08-26T17:28:35Z,16:33:24,158464,145.8M,36,4.9
2026-08-26T17:33:36Z,16:38:25,146256,145.5M,35,4.5
2026-08-26T17:38:39Z,16:43:26,138576,145.7M,36,1.8
2026-08-26T17:43:40Z,16:48:29,139584,144.9M,35,0.7
2026-08-26T17:48:41Z,16:53:30,130912,144.7M,35,4.2
2026-08-26T17:53:42Z,16:58:31,137408,144.5M,35,4.2
2026-08-26T17:58:43Z,17:03:32,180032,144.8M,35,2.7
2026-08-26T18:03:44Z,17:08:33,141600,144.8M,37,4.7
2026-08-26T18:08:47Z,17:13:34,130720,144.8M,38,5.7
2026-08-26T18:13:48Z,17:18:37,143888,139.6M,35,4.9
2026-08-26T18:18:49Z,17:23:38,142880,139.6M,36,3.2
2026-08-26T18:23:51Z,17:28:39,137232,139.1M,36,3.3
2026-08-26T18:28:52Z,17:33:41,185840,139.5M,35,2.8
2026-08-26T18:33:54Z,17:38:42,132560,138.8M,35,8.3
2026-08-26T18:38:55Z,17:43:44,133152,139.3M,35,3.6
2026-08-26T18:43:57Z,17:48:45,177744,139.8M,38,3.0
2026-08-26T18:48:58Z,17:53:47,135616,139.6M,35,8.7
2026-08-26T18:53:59Z,17:58:48,129824,139.6M,36,5.5
2026-08-26T18:59:01Z,18:03:49,135120,140.5M,36,7.4
2026-08-26T19:04:02Z,18:08:51,131728,140.5M,36,3.8
2026-08-26T19:09:03Z,18:13:52,132672,141.2M,36,5.7
2026-08-26T19:14:04Z,18:18:53,133008,140.7M,36,8.4
2026-08-26T19:19:05Z,18:23:54,131936,140.5M,36,3.2
2026-08-26T19:24:07Z,18:28:55,129488,140.7M,36,2.9
2026-08-26T19:29:08Z,18:33:57,166032,140.0M,35,5.2
2026-08-26T19:34:09Z,18:38:58,131792,140.2M,36,3.0
2026-08-26T19:39:12Z,18:43:59,125888,139.9M,36,1.4
2026-08-26T19:44:13Z,18:49:02,135216,140.3M,36,6.9
2026-08-26T19:49:15Z,18:54:03,128672,140.2M,35,5.0
2026-08-26T19:54:16Z,18:59:05,138608,139.7M,36,6.5
2026-08-26T19:59:17Z,19:04:06,141072,140.6M,36,4.5
2026-08-26T20:04:18Z,19:09:07,132032,140.7M,36,2.4
2026-08-26T20:09:20Z,19:14:08,127728,140.7M,36,2.8
2026-08-26T20:14:21Z,19:19:10,128992,144.0M,36,4.5
2026-08-26T20:19:22Z,19:24:11,128784,144.1M,36,2.4
2026-08-26T20:24:23Z,19:29:12,130560,144.4M,36,2.7
2026-08-26T20:29:24Z,19:34:13,132144,145.1M,36,5.5
2026-08-26T20:34:29Z,19:39:15,128672,145.1M,36,2.8
2026-08-26T20:39:31Z,19:44:20,133904,146.0M,36,6.8
2026-08-26T20:44:32Z,19:49:21,131680,144.3M,36,5.4
2026-08-26T20:49:35Z,19:54:22,133152,145.4M,36,1.3
2026-08-26T20:54:36Z,19:59:25,136288,145.6M,36,7.4
2026-08-26T20:59:38Z,20:04:26,138816,147.1M,36,5.8
2026-08-26T21:04:39Z,20:09:28,137504,146.9M,37,7.8
2026-08-26T21:09:41Z,20:14:29,138080,147.5M,35,4.7
2026-08-26T21:14:43Z,20:19:31,132896,151.0M,36,3.9
2026-08-26T21:19:47Z,20:24:33,138928,152.6M,36,6.8
2026-08-26T21:24:48Z,20:29:37,136672,151.9M,36,5.1
2026-08-26T21:29:50Z,20:34:38,142464,153.8M,36,5.5
2026-08-26T21:34:54Z,20:39:40,140400,152.6M,35,5.6
2026-08-26T21:39:55Z,20:44:44,140800,153.0M,35,12.0
2026-08-26T21:44:56Z,20:49:45,138096,153.8M,36,8.6
2026-08-26T21:50:01Z,20:54:47,141808,155.1M,37,6.2
2026-08-26T21:55:02Z,20:59:51,142672,153.8M,38,13.4
2026-08-26T22:00:04Z,21:04:52,151456,154.3M,35,7.6
2026-08-26T22:05:05Z,21:09:54,147600,152.9M,36,7.8
2026-08-26T22:10:06Z,21:14:55,140256,153.5M,38,6.4
2026-08-26T22:15:07Z,21:19:56,142080,153.2M,35,5.6
2026-08-26T22:20:12Z,21:24:57,143808,154.2M,35,3.0
2026-08-26T22:25:13Z,21:30:02,140784,153.0M,37,2.1
2026-08-26T22:30:14Z,21:35:03,144272,153.5M,35,3.4
2026-08-26T22:35:15Z,21:40:04,144064,153.1M,35,6.0
2026-08-26T22:40:16Z,21:45:05,142752,152.6M,35,7.0
2026-08-26T22:45:17Z,21:50:06,142992,153.4M,36,8.8
2026-08-26T22:50:18Z,21:55:07,137280,152.9M,36,4.4
2026-08-26T22:55:20Z,22:00:08,136496,154.0M,36,6.7
2026-08-26T23:00:21Z,22:05:10,168224,157.4M,36,1.4
2026-08-26T23:05:22Z,22:10:11,169120,170.2M,36,7.3
2026-08-26T23:10:23Z,22:15:12,156624,169.4M,36,3.1
2026-08-26T23:15:24Z,22:20:13,167168,167.5M,36,3.3
2026-08-26T23:20:25Z,22:25:14,153456,167.9M,36,7.4
2026-08-26T23:25:26Z,22:30:15,145456,168.4M,36,11.2
2026-08-26T23:30:27Z,22:35:16,219376,167.5M,36,3.0
2026-08-26T23:35:29Z,22:40:17,158800,167.6M,36,6.2
2026-08-26T23:40:30Z,22:45:19,152672,167.6M,36,2.6
2026-08-26T23:45:31Z,22:50:20,183328,184.2M,36,2.4
2026-08-26T23:50:32Z,22:55:21,177456,183.1M,36,4.6
2026-08-26T23:55:33Z,23:00:22,182240,185.7M,36,2.8
2026-08-27T00:00:34Z,23:05:23,168272,183.9M,36,7.0
2026-08-27T00:05:36Z,23:10:24,180000,184.4M,36,5.7
2026-08-27T00:10:37Z,23:15:26,178992,182.5M,36,4.8
2026-08-27T00:15:38Z,23:20:27,187488,191.1M,36,8.9
2026-08-27T00:20:41Z,23:25:28,174000,191.5M,36,5.0
2026-08-27T00:25:43Z,23:30:32,166032,191.5M,36,7.7
2026-08-27T00:30:44Z,23:35:33,167888,193.2M,36,6.7
2026-08-27T00:35:46Z,23:40:34,161344,194.4M,36,3.3
2026-08-27T00:40:47Z,23:45:36,169280,193.1M,36,2.9
2026-08-27T00:45:48Z,23:50:37,166656,192.7M,35,2.5
2026-08-27T00:50:49Z,23:55:38,170368,192.4M,36,1.6
2026-08-27T00:55:50Z,01-00:00:39,231584,196.6M,35,3.2
2026-08-27T01:00:51Z,01-00:05:40,219184,194.7M,36,4.3
2026-08-27T01:05:53Z,01-00:10:41,179504,194.3M,36,4.7
2026-08-27T01:10:54Z,01-00:15:43,168880,193.4M,36,3.1
2026-08-27T01:15:55Z,01-00:20:44,199776,194.4M,36,2.5
2026-08-27T01:20:56Z,01-00:25:45,169584,191.8M,36,5.5
2026-08-27T01:25:57Z,01-00:30:46,172192,193.4M,36,6.2
2026-08-27T01:30:59Z,01-00:35:47,170032,196.1M,36,2.6
2026-08-27T01:36:00Z,01-00:40:49,167392,194.7M,35,8.5
2026-08-27T01:41:01Z,01-00:45:50,201936,239.5M,35,28.1
2026-08-27T01:46:02Z,01-00:50:51,174800,199.9M,36,4.9
2026-08-27T01:51:03Z,01-00:55:52,175120,198.0M,35,3.0
2026-08-27T01:56:04Z,01-01:00:53,264704,239.2M,35,25.6
2026-08-27T02:01:05Z,01-01:05:54,179168,194.2M,37,5.6
2026-08-27T02:06:06Z,01-01:10:55,179792,193.8M,36,4.3
2026-08-27T02:11:07Z,01-01:15:56,257792,242.3M,36,17.6
2026-08-27T02:16:09Z,01-01:20:58,174144,197.4M,35,8.5
2026-08-27T02:21:10Z,01-01:25:59,177472,197.3M,37,6.4
2026-08-27T02:26:11Z,01-01:31:00,273424,215.0M,37,4.7
2026-08-27T02:31:12Z,01-01:36:01,169968,192.1M,37,5.6
2026-08-27T02:36:13Z,01-01:41:02,161744,191.5M,36,3.4
2026-08-27T02:41:14Z,01-01:46:03,423872,206.9M,38,5.2
2026-08-27T02:46:16Z,01-01:51:04,193264,186.2M,35,6.5
2026-08-27T02:51:17Z,01-01:56:06,194400,187.3M,36,8.8
2026-08-27T02:56:18Z,01-02:01:07,327392,208.1M,37,2.5
