t_s rss_kb footprint_mb threads pcpu goroutines
20 84896 66.7M 19 0.7 profile:
321 133344 98.3M 28 0.4 profile:
20 125248 94.9M 28 5.3 279
322 116400 83.3M 28 3.3 279
623 126992 99.0M 27 2.7 281
924 114176 100.3M 30 2.7 281
1226 101456 101.2M 27 1.8 281
1527 109808 98.3M 31 2.4 281
1828 109808 98.3M 31 4.1 281
2130 137040 112.7M 31 7.0 281
2432 127216 113.9M 34 1.4 281
2733 129472 113.3M 33 1.9 281
3034 127552 113.0M 33 1.2 281
3337 148192 116.4M 33 2.8 281
3638 148032 115.8M 32 3.8 281
3939 130192 115.8M 31 2.8 281
4240 146448 117.9M 32 3.8 281
4541 152368 122.0M 31 2.8 281
4843 149984 122.0M 33 3.5 281
5144 150464 118.9M 31 3.4 281
5445 135552 118.5M 31 4.0 281
5746 137984 120.8M 31 4.4 281
6048 159488 120.4M 31 3.9 281
6349 143616 120.4M 32 3.5 281
6650 140544 120.3M 31 2.4 281
6951 164128 123.5M 31 2.0 319
7252 164240 122.9M 32 4.9 285
7554 163392 122.1M 32 3.4 281
7855 161936 122.3M 31 3.1 281
8156 147648 118.4M 31 1.6 281
8457 137152 118.4M 32 3.8 281
8758 147136 124.7M 31 4.2 282
9059 137680 124.5M 32 1.4 281
9361 134896 124.6M 31 2.1 282
9661 159280 124.8M 32 3.7 281
9963 160000 125.1M 32 3.1 282
10264 122928 125.2M 33 3.4 281
10565 159040 128.0M 33 4.8 286
10866 159040 127.5M 31 3.0 282
11170 164816 128.1M 31 4.7 282
11471 151344 129.3M 31 4.3 281
11772 125184 129.4M 31 1.3 282
12073 124384 129.4M 31 4.4 281
12374 162400 124.5M 32 1.3 282
12676 162320 124.5M 34 1.2 281
12979 107872 128.0M 34 1.6 282
13280 129152 128.5M 34 3.7 287
13581 140640 128.2M 32 2.7 282
13885 130048 128.2M 31 2.1 281
14186 157616 128.7M 32 4.0 282
