utc,total_alloc,mallocs,heap_alloc,num_gc,publishes_priority,publishes_recent,folded_recent
22:49:34,393472072,3450357,49445120,22,6,1,450
22:50:34,516092456,4148868,56516480,26,9,2,450
22:51:34,715133320,5277573,58789720,32,13,3,450
22:52:34,916742344,6413539,50477264,38,17,3,450
22:53:35,1114086192,7543945,52906712,43,20,4,450
22:54:35,1308712256,8658484,80745424,47,24,4,450
22:55:35,1399208728,9182066,86252016,49,28,5,450
22:56:36,1409469024,9234670,52502976,50,31,5,450
22:57:36,1419960800,9309556,62994752,50,35,6,450
22:58:36,1429059128,9372340,51602992,51,39,6,450
22:59:36,1457676136,9479167,80220000,51,44,7,600
23:00:37,1466903784,9542140,53665400,52,48,7,600
23:01:37,1477627856,9617491,64389472,52,52,8,600
23:02:37,1486112024,9670440,52719952,53,55,8,600
23:03:37,1498985048,9745697,65592976,53,59,9,600
23:04:37,1651415624,9828514,62568392,57,63,10,749
23:05:38,1663632016,9893801,74784784,57,66,11,749
23:06:38,1672907872,9957276,46265672,58,70,11,749
23:07:38,1685516800,10032080,58874600,58,74,12,749
23:08:38,1695723088,10084974,46594448,59,77,12,749
23:09:39,1806243848,11661965,69829880,61,84,13,899
23:10:39,1817241144,11724857,80827176,61,88,13,899
23:11:39,1829283344,11789956,48794528,62,91,14,899
23:12:39,1838303824,11853340,57815008,62,95,14,899
23:13:39,1846803200,11928018,48406272,63,99,15,899
23:14:40,1853337272,11980774,54940344,63,102,15,899
23:15:40,1864087352,12055897,47465432,64,106,16,899
23:16:40,1870452368,12109296,53830448,64,109,16,899
23:17:41,1882253976,12174051,47857768,65,112,17,899
23:18:41,1891355224,12237026,56959016,65,116,17,899
23:19:41,2063644560,12376554,48393616,69,122,18,1199
23:20:41,2094753632,12537868,79502688,69,125,18,1199
23:21:41,2148059720,12745326,50197016,71,129,19,1199
23:22:42,2197531776,12941393,66999952,72,133,19,1199
23:23:42,2248786080,13136953,46154512,74,136,20,1199
23:24:42,2297723592,13329448,54237800,75,140,20,1199
23:25:43,2328843584,13489193,85357792,75,144,21,1199
23:26:43,2337199504,13542678,50468000,76,147,21,1199
23:27:43,2349873824,13619331,63142320,76,151,22,1199
23:28:44,2359060376,13683187,52679160,77,155,22,1199
23:29:44,2395452048,13799602,48190056,78,160,23,1349
23:30:44,2406514056,13863513,59252064,78,164,23,1349
23:31:44,2420387616,13950182,49497744,79,169,24,1349
23:32:44,2430913992,14003770,60024120,79,172,24,1349
23:33:45,2441627600,14080135,49535000,80,176,25,1349
23:34:45,2600339368,14197494,72332120,83,180,27,1497
23:35:45,2612503616,14263562,84496368,83,183,28,1497
23:36:46,2621699184,14327674,49824832,84,187,28,1497
23:37:46,2632449400,14403729,60575048,84,191,29,1497
23:38:46,2640787984,14457293,51321624,85,194,29,1497
23:39:46,2776642112,16684753,108866808,87,202,30,1647
23:40:46,2785188880,16738945,53559768,88,205,30,1647
23:41:47,2797135216,16804953,65506104,88,208,31,1647
23:42:47,2808182744,16869010,53255144,89,212,31,1647
23:43:47,2821011448,16945271,66083848,89,216,32,1647
23:44:47,2827358936,16998825,50938904,90,219,32,1647
23:45:48,2838108384,17074962,61688352,90,223,33,1647
23:46:48,2847198144,17138828,52474832,91,227,33,1647
23:47:48,2857330520,17204710,62607208,91,230,34,1647
23:48:49,2863166968,17263932,49102832,92,234,34,1647
23:49:49,3137938880,17492767,77296904,97,242,37,2095
23:50:49,,,,,,,
