utc,elapsed,rss_kb,footprint_kb,threads,pcpu,heap_alloc,heap_inuse,heap_objects,goroutines,fds,disk_files,disk_bytes,publishes_recent
2026-08-27T01:10:30Z,00:10,126336,93696,23,0.3,38539064,44359680,207166,306,18,818,37398784,1
2026-08-27T01:11:31Z,01:11,127184,70041,23,0.1,50500024,55148544,253772,276,18,818,37397912,3
2026-08-27T01:12:32Z,02:12,127280,76902,23,0.6,35612336,43384832,183672,275,17,818,37395878,4
2026-08-27T01:13:33Z,03:13,127296,77209,23,0.3,41458272,47890432,224146,275,17,818,37395880,4
2026-08-27T01:14:34Z,04:14,127312,72294,23,0.3,35815016,43253760,184231,274,16,818,37395879,5
2026-08-27T01:15:35Z,05:15,127328,72396,23,0.0,43388672,48971776,224780,274,16,818,37392308,5
2026-08-27T01:16:36Z,06:16,81264,72192,23,0.5,35350768,43106304,184246,273,15,818,37382914,6
2026-08-27T01:17:37Z,07:17,81296,72294,23,0.7,41957480,48185344,216709,273,15,818,37383150,6
2026-08-27T01:18:38Z,08:18,81184,72396,23,0.4,35803264,43393024,184402,273,15,818,37390466,7
2026-08-27T01:19:39Z,09:19,81248,72396,23,0.5,43473384,49258496,225135,273,15,818,37390465,7
2026-08-27T01:20:41Z,10:21,94576,86118,23,0.4,42310320,49758208,209413,275,17,818,37390551,8
2026-08-27T01:21:42Z,11:22,96080,86425,23,1.4,53243328,58966016,255611,275,17,818,37390125,8
2026-08-27T01:22:43Z,12:23,96272,84377,23,0.8,39881880,47513600,206608,275,17,818,37393546,9
2026-08-27T01:23:44Z,13:24,81136,84377,23,0.8,45950800,52035584,244523,275,17,818,37393460,9
2026-08-27T01:24:45Z,14:25,81488,75468,23,0.7,39342744,46702592,206438,274,16,818,37393460,10
2026-08-27T01:25:46Z,15:26,121856,110899,23,0.7,48164304,54149120,232648,275,17,818,37392392,12
2026-08-27T01:26:48Z,16:27,122352,117350,23,0.4,59848360,64503808,280115,274,16,818,37392394,13
2026-08-27T01:27:49Z,17:29,84896,83456,23,0.8,40959960,49127424,199382,273,15,818,37392395,13
2026-08-27T01:28:50Z,18:30,84912,83763,23,0.7,51423232,57483264,254414,273,15,818,37392367,14
2026-08-27T01:29:51Z,19:31,84848,79462,23,2.3,39947656,47448064,207251,273,15,818,37392369,14
2026-08-27T01:30:52Z,20:32,92224,88064,23,0.6,39587184,47988736,199008,275,17,818,37392097,15
2026-08-27T01:31:53Z,21:33,92448,88064,23,1.0,48771200,55320576,245250,275,17,818,37392173,15
2026-08-27T01:32:54Z,22:34,83984,82739,23,0.8,39481528,47194112,206281,275,17,818,37391217,16
2026-08-27T01:33:55Z,23:35,83456,82739,23,0.7,47535160,53624832,244347,275,17,818,37391217,16
2026-08-27T01:34:57Z,24:36,83952,75980,23,0.8,40340160,48177152,198596,274,16,818,37391215,17
2026-08-27T01:35:58Z,25:38,84112,78848,23,1.0,51472544,57425920,244683,273,15,818,37391304,17
2026-08-27T01:36:59Z,26:39,84960,77004,23,0.8,38785616,46505984,198654,273,15,818,37390896,18
2026-08-27T01:38:00Z,27:40,85024,77004,23,0.8,47750968,53608448,244452,273,15,818,37390897,18
2026-08-27T01:39:01Z,28:41,83248,75571,23,0.4,41974536,49160192,214582,273,15,818,37390923,19
2026-08-27T01:40:02Z,29:42,83264,75571,23,1.1,50079608,55713792,252584,273,15,818,37390922,19
2026-08-27T01:41:03Z,30:43,131040,97587,23,0.3,36204656,45129728,185543,277,19,818,37389497,20
2026-08-27T01:42:04Z,31:44,131392,99328,23,0.7,47178560,53805056,231922,275,17,818,37389344,20
2026-08-27T01:43:05Z,32:45,131568,81715,23,0.7,36669960,45596672,185036,275,17,818,37390451,21
2026-08-27T01:44:06Z,33:46,130928,81817,23,0.6,45819648,52183040,231317,275,17,818,37390424,21
2026-08-27T01:45:07Z,34:47,88128,76185,23,0.8,37157376,45531136,193016,274,16,818,37390423,22
2026-08-27T01:46:08Z,35:48,88448,76185,23,0.7,45522384,51757056,231230,273,15,818,37388866,22
2026-08-27T01:47:09Z,36:49,88576,76185,23,0.6,36731288,45563904,185315,273,15,818,37388867,23
2026-08-27T01:48:10Z,37:50,88608,76288,23,0.8,47586840,53747712,231503,273,15,818,37388861,23
2026-08-27T01:49:11Z,38:51,89392,79462,23,0.7,37621960,46448640,190519,273,15,818,37388864,24
2026-08-27T01:50:12Z,39:52,89424,79462,23,0.8,44619264,50888704,236538,273,15,818,37388914,24
2026-08-27T01:51:13Z,40:53,91200,87756,23,0.9,38137656,48308224,192794,275,17,818,37389170,25
2026-08-27T01:52:14Z,41:54,88832,87859,23,0.9,46360496,54083584,230857,275,17,818,37389291,25
