callsign,site,state,freq_mhz,lat,lon,power_w,status,same
KAD93,H Street - Blaine Area,WA,162.525,48.996278,-122.649167,124,NORMAL,053055|053073
KAD94,Yosemite,CA,162.450,37.712778,-119.704722,85,NORMAL,006043
KAD95,Ryegate,MT,162.450,46.283333,-109.162778,300,NORMAL,030037|030065|030095|030097|030107
KAD96,Manleyville,AK,162.500,57.105556,-134.816944,5,NORMAL,002195
KAE42,Providence Forge,VA,162.500,37.4906,-77.0569,1000,NORMAL,051036|051057|051073|051085|051087|051095|051097|051101|051119|051127|051149|051181|051199|051670|051760|051830
KBA99,Oahu,HI,162.550,21.508442,-158.147742,1000,NORMAL,015003
KBS508,White Hill,NY,162.525,44.598333,-74.776944,300,NORMAL,036033|036045|036049|036089
KC2XBZ,Gresham,WI,162.500,44.8167,-88.8181,300,NORMAL,055078|055115|055135
KDO89,St. Louis,MO,162.550,38.580583,-90.32925,1010,NORMAL,017119|017133|017163|029071|029099|029113|029183|029189|029219|029510
KDO94,Akron,OH,162.400,41.0644,-81.5833,500,NORMAL,039005|039019|039029|039075|039099|039103|039133|039151|039153|039155|039157|039169
KDO95,Falmouth,ME,162.550,43.7625,-70.325,500,NORMAL,023001|023005|023023|023031
KDX54,Big Rock Ridge,CA,162.500,38.059722,-122.605556,75,NORMAL,006013|006041|006055|006075|006081|006085|006097|106097|206097|306097|406097|506097|606097|706097|906097
KE2XKP,Tomah,WI,162.525,43.8956,-90.585,300,NORMAL,055001|055053|055057|055063|055081|055123|055141
KEB97,Lake City,FL,162.400,30.1939,-82.6347,300,NORMAL,012023|012047|012121
KEB98,Buffalo,NY,162.550,42.636944,-78.768056,330,NORMAL,036003|036009|036013|036029|036037|036063|036073|036121
KEC38,Largo,FL,162.450,27.848056,-82.763333,1000,NORMAL,012057|012081|012101|012103
KEC39,Cambridge,NE,162.525,40.183167,-100.100667,347,NORMAL,020039|020137|031063|031065|031073|031145
KEC42,Eugene,OR,162.400,44.002472,-123.116278,114,NORMAL,041003|041039|041043
KEC43,Anchorage,AK,162.550,61.157038,-149.98741,300,NORMAL,002020|002122|002170
KEC49,Monterey,CA,162.550,37.155,-121.8983,300,NORMAL,006001|006013|006053|006055|006069|006075|006081|006085|006087
KEC50,West Palm Beach,FL,162.475,26.749722,-80.0675,1000,NORMAL,012011|012085|012099|012111
KEC55,Fort Worth,TX,162.550,32.536694,-97.413,1050,NORMAL,048035|048085|048113|048121|048139|048143|048217|048221|048251|048367|048425|048439|048497
KEC56,Dallas,TX,162.400,32.901278,-96.6872,1040,NORMAL,048035|048085|048113|048121|048139|048217|048221|048231|048257|048367|048397|048439
KEC57,Sacramento,CA,162.550,38.5806,-120.615,300,NORMAL,006005|006009|006011|006017|006061|006067|006077|006095|006099|006101|006113
KEC58,Erie,PA,162.400,42.063972,-80.005444,750,NORMAL,036013|039007|042039|042049|042121|042123
KEC59,Wichita,KS,162.550,37.750611,-97.303667,1050,NORMAL,020015|020035|020077|020079|020095|020113|020115|020155|020173|020191
KEC60,Milwaukee,WI,162.400,43.028272,-88.392525,1000,NORMAL,055027|055039|055055|055059|055079|055089|055101|055117|055127|055131|055133
KEC61,Mobile,AL,162.550,30.659444,-87.8925,1000,NORMAL,001003|001097|028039|028059
KEC62,San Diego,CA,162.400,33.0089,-116.972194,102,NORMAL,006073
KEC63,Detroit,MI,162.550,42.483056,-83.205556,1000,NORMAL,026091|026093|026099|026115|026125|026147|026161|026163
KEC65,Minneapolis/St. Paul,MN,162.550,44.968944,-93.207833,1020,NORMAL,027003|027019|027025|027037|027049|027053|027123|027131|027139|027163|027171|055093|055095|055109|127053|327053|427053|527053|627053|827053
KEC73,Bourne/Hyannis,MA,162.550,41.707729,-70.564406,1000,NORMAL,025001|025005|025007|025019|025023
KEC74,Indianapolis,IN,162.550,39.7675,-86.0025,1000,NORMAL,018011|018031|018035|018057|018059|018063|018065|018081|018095|018097|018109|018139|018145|018159
KEC76,Denver,CO,162.550,39.692087,-104.936663,330,NORMAL,008001|008005|008014|008019|008031|008035|008039|008047|008059|008069|008093|008123|408005|508005|608005
KEC77,Saint Joseph,KS,162.400,39.709639,-95.0425,1000,NORMAL,020005|020043|029003|029021|029049|029063|029087|029165
KEC78,Salt Lake City,UT,162.550,40.6272,-112.0572,300,NORMAL,049003|049011|049035|049049|049057
KEC80,Atlanta,GA,162.550,33.80525,-84.144333,569,NORMAL,013057|013063|013067|013089|013097|013113|013117|013121|013135|013151|013217|013247|013297
KEC81,Seward,AK,162.550,60.089345,-149.352763,300,NORMAL,002122
KEC82,Eureka,CA,162.400,40.4175,-124.119167,300,NORMAL,006023
KEC83,Baltimore,MD,162.400,39.386349,-76.730772,1000,NORMAL,011001|024003|024005|024009|024013|024021|024025|024027|024029|024031|024033|024035|024041|024510|042001|042133
KEC84,New Bern,NC,162.400,35.1344,-77.0631,1000,NORMAL,037013|037031|037049|037061|037079|037095|037103|037107|037117|037133|037137|037147
KEC85,Savannah,SC,162.400,32.3289,-80.9378,1000,NORMAL,013029|013031|013051|013103|013179|045013|045053
KEC86,Pensacola,FL,162.400,30.588611,-87.070556,1000,OUT OF SERVICE,001003|001053|012033|012091|012113
KEC91,Astoria,WA,162.400,46.4214,-123.796056,297,NORMAL,041007|041009|053027|053049|053069
KEC92,Salisbury,DE,162.475,38.504444,-75.643056,1000,NORMAL,010005|024009|024011|024019|024035|024037|024039|024041|024045|024047|051001
KEC93,Ellsworth,ME,162.400,44.545833,-68.511944,1000,NORMAL,023009|023019|023027|023029
KEC94,Phoenix,AZ,162.550,33.332778,-112.066944,347,NORMAL,004013|004021
KEC95,Aynor,SC,162.400,33.950722,-79.108459,1000,NORMAL,037019|037047|045033|045041|045043|045051|045067|045089
KGG67,Panama City,FL,162.550,30.1472,-85.7128,1000,NORMAL,012005|012013|012045|012059|012131|012133
KGG68,Tomball,TX,162.400,30.0964,-95.6564,1000,NORMAL,048039|048071|048157|048167|048201|048291|048339|048473
KGG86,Fountain Hill,AR,162.475,33.3894,-91.853889,1000,NORMAL,005003|005011|005013|005017|005025|005041|005043|005139|022061|022067|022111|022123
KGG94,Poplar,MT,162.425,48.290556,-105.251944,300,NORMAL,030055|030083|030085|230083|330055
KGG95,Winona,WI,162.425,44.0739,-91.5775,300,NORMAL,027169|055011|055063|055121
KGG97,Bozeman,MT,162.500,45.679722,-111.041667,100,NORMAL,030031
KGG98,Halls Summit,KS,162.425,38.335,-95.6744,1110,NORMAL,020001|020003|020017|020031|020045|020059|020073|020111|020139|020207
KGG99,Lexington,NE,162.425,40.695028,-99.817389,405,NORMAL,031047|031063|031073|031137
KHA35,Orangeburg,SC,162.525,33.543083,-80.824229,300,NORMAL,045009|045017|045027|045035|045075|045079|045085
KHA46,Vale,TN,162.450,36.137194,-88.261,1000,NORMAL,021035|047005|047017|047079|047083|047085|047161|047183
KHA47,Baraboo,WI,162.450,43.427778,-89.653889,300,NORMAL,055001|055021|055025|055049|055057|055077|055103|055111|055123
KHA53,Rochester,NY,162.400,43.036111,-77.423333,500,NORMAL,036011|036037|036051|036055|036069|036073|036099|036117|036121|036123
KHA55,Oshkosh,NE,162.525,41.340278,-102.399167,1000,NORMAL,031049|031069|031101
KHA99,Muenster,TX,162.425,33.64997,-97.339722,300,NORMAL,040019|040067|040085|048097|048121|048181|048337|048497
KHB29,Charleston,SC,162.550,32.9244,-79.699444,1000,NORMAL,045015|045019|045027|045029|045035|045043|045075|045089
KHB30,Burns Butte,OR,162.475,43.572639,-119.131528,130,NORMAL,041025
KHB31,Winnabow,NC,162.550,34.1316,-78.187778,1000,NORMAL,037017|037019|037047|037129|037141
KHB32,Tampa Bay,FL,162.550,27.842533,-82.262472,1000,NORMAL,012049|012057|012081|012101|012103|012105
KHB33,Pharr,TX,162.400,26.211222,-98.18875,1000,NORMAL,048061|048215|048427|048489
KHB34,Miami,FL,162.550,25.967861,-80.209333,1100,NORMAL,012011|012086
KHB35,Boston,MA,162.475,42.211928,-71.113649,1000,NORMAL,025005|025009|025017|025021|025023|025025
KHB36,Manassas,VA,162.550,38.628722,-77.438833,1010,NORMAL,011001|024009|024017|024021|024031|024033|024037|051013|051043|051047|051059|051061|051099|051107|051113|051137|051139|051153|051157|051177|051179|051187|051510|051600|051610|051630|051683|051685
KHB37,Norfolk,VA,162.550,36.815556,-76.466667,1000,NORMAL,037015|037029|037041|037053|037073|037091|037131|037139|037143|051001|051073|051093|051095|051115|051131|051175|051181|051183|051199|051550|051620|051650|051700|051710|051735|051740|051800|051810|051830
KHB38,Atlantic City,NJ,162.400,39.37895,-74.447744,1000,NORMAL,034001|034005|034009|034011|034029
KHB39,Jacksonville,FL,162.550,30.2761,-81.5647,1000,NORMAL,012003|012019|012031|012089|012109|013039|013049
KHB40,Galveston,TX,162.550,29.293528,-94.833472,1000,NORMAL,048039|048071|048157|048167|048201
KHB41,Rockport,TX,162.550,28.00513,-97.09667,1250,NORMAL,048007|048025|048249|048273|048297|048355|048391|048409
KHB42,Lake Charles,LA,162.400,30.221222,-93.3114,1000,NORMAL,022003|022011|022019|022023|022053
KHB43,New Orleans,LA,162.550,29.95287,-90.06717,1000,NORMAL,022051|022057|022071|022075|022087|022089|022093|022095|022103|022105
KHB46,Baton Rouge,LA,162.400,30.44325,-91.18197,1000,NORMAL,022005|022033|022037|022047|022063|022077|022091|022105|022121|022125|028157
KHB47,New London,CT,162.550,41.440833,-72.141389,500,NORMAL,009003|009007|009011|009013|009015|036103|044009
KHB49,San Francisco,CA,162.400,37.450556,-122.338333,300,NORMAL,006001|006013|006041|006055|006075|006081|006085|006087|006097|106097|206097|306097|406097|606097|706097|906097
KHB52,Richmond,IN,162.500,39.8283,-84.8975,300,NORMAL,018031|018041|018047|018065|018135|018139|018161|018177|039017|039037|039113|039135
KHB53,Jordan,MT,162.500,47.306111,-106.914444,300,NORMAL,030033|030055|230033|430033|730055|930033
KHB54,Milo,ME,162.550,45.247591,-69.01068,1000,NORMAL,023019|023021|023025
KHB55,Frenchville,ME,162.475,47.286944,-68.314167,300,NORMAL,023003
KHB59,Cleveland,OH,162.550,41.522778,-81.328611,750,NORMAL,039007|039035|039043|039055|039077|039085|039093|039103|039133|039153
KHB60,Seattle,WA,162.550,47.5436,-122.108694,102,NORMAL,053033|053035|053045|053053|053061
KHB97,Sandusky,OH,162.400,41.238611,-82.837694,1000,NORMAL,039005|039033|039043|039063|039077|039093|039123|039139|039143|039147|039173|039175
KHC26,Circle,MT,162.550,47.276944,-105.391667,300,NORMAL,030021|030055|430021|930055
KHC27,Rock Hill,SC,162.425,34.839722,-81.018333,1000,NORMAL,037045|037119|037179|045021|045023|045039|045057|045087|045091
KHC28,Kirksey,SC,162.425,33.9975,-82.051944,1000,NORMAL,013073|013105|013181|045001|045037|045047|045059|045065|045071|045081
KHC29,Barnwell,SC,162.500,33.187679,-81.397073,1000,NORMAL,013033|013251|045003|045005|045009|045011|045049|045075
KHC47,Meddybemps,ME,162.425,45.028889,-67.322778,300,NORMAL,023029
KHC49,Norwich,NY,162.525,42.511389,-75.468056,300,NORMAL,036007|036017|036023|036025|036053|036077
KID77,Kansas City,MO,162.550,39.0905,-94.472,1000,NORMAL,020045|020091|020103|020121|020209|029037|029047|029095|029101|029107|029165|029177
KIG60,Burlington,VT,162.400,44.526667,-72.815833,500,NORMAL,036019|036031|036033|050001|050007|050011|050013|050015|050023
KIG64,Duluth,MN,162.550,46.786944,-92.114444,1000,NORMAL,027017|027075|027115|055007|055031|727137|927137
KIG65,Green Bay,WI,162.550,44.409722,-88.001389,1000,NORMAL,055009|055015|055029|055061|055071|055075|055078|055083|055087|055115|055139
KIG66,Marquette,MI,162.550,46.514167,-87.481667,1000,NORMAL,026003|026013|026041|026043|026071|026103|026109|026153
KIG74,Sault Ste Marie,MI,162.550,46.377042,-84.425094,1000,NORMAL,026033|026097
KIG75,Yakima,WA,162.550,46.6405,-120.39725,300,NORMAL,053037|053077
KIG76,Evansville,IN,162.550,38.18,-87.486944,1000,NORMAL,017047|017185|017193|018037|018051|018123|018125|018129|018147|018163|018173|021101|021225
KIG77,Cape Hatteras,NC,162.475,35.2458,-75.5339,1000,NORMAL,037015|037055|037095|037177|037187
KIG78,Coachella,CA,162.400,33.654889,-115.990222,104,NORMAL,006025|006065
